id,group_name,addr_pool
11,"w6广西电信","240e:9::/32,240e:22:4000::/34,240e:2a:4000::/34,240e:49::/32,240e:69:2000::/35,240e:a4::/30,240e:105::/34,240e:108:8d::/48,240e:108:1130::/47,240e:145::/34,240e:185::/34,240e:1c5::/34,240e:250::/30,240e:350::/29,240e:450::/30,240e:550::/30,240e:650::/29,240e:750::/29,240e:850::/30,240e:950::/30,240e:980:8d00::/40,240e:982:3000::/39,240e:a50::/30,240e:b50::/29"
12,"w6贵州电信","240e:a::/32,240e:22:8000::/34,240e:2a:8000::/34,240e:4a::/32,240e:69:4000::/35,240e:a8::/30,240e:103:8000::/34,240e:108:10::/44,240e:109:8010::/44,240e:143:8000::/34,240e:183:8000::/34,240e:1c3:8000::/34,240e:238::/30,240e:338::/30,240e:438::/30,240e:538::/30,240e:638::/30,240e:698:1000::/36,240e:738::/30,240e:838::/30,240e:938::/30,240e:980:1000::/36,240e:a38::/30,240e:b38::/30"
13,"w6海南电信","240e:2:8000::/33,240e:20:a000::/35,240e:28:a000::/35,240e:42:8000::/33,240e:68:4000::/36,240e:8a::/31,240e:101:4000::/34,240e:108:8c::/48,240e:141:4000::/34,240e:181:4000::/34,240e:1c1:4000::/34,240e:214::/30,240e:314::/30,240e:414::/30,240e:514::/30,240e:614::/30,240e:714::/30,240e:814::/30,240e:914::/30,240e:980:8c00::/40,240e:a14::/30,240e:b14::/30"
14,"w6河北电信","240e:c::/32,240e:23::/34,240e:2b::/34,240e:4c::/32,240e:69:8000::/35,240e:b0::/30,240e:104::/34,240e:108:2d::/48,240e:108:2f::/48,240e:108:94::/48,240e:108:10f1::/48,240e:108:10f2::/48,240e:144::/34,240e:184::/34,240e:1c4::/34,240e:240::/30,240e:340::/30,240e:440::/30,240e:540::/30,240e:640::/30,240e:740::/30,240e:840::/30,240e:940::/30,240e:980:2d00::/40,240e:980:2f00::/40,240e:980:9400::/40,240e:981:f100::/40,240e:981:f200::/40,240e:a40::/30,240e:b40::/30"
15,"w6河南电信","240e:b::/32,240e:22:c000::/34,240e:2a:c000::/34,240e:4b::/32,240e:69:6000::/35,240e:ac::/30,240e:103:c000::/34,240e:108:4d::/48,240e:108:8f::/48,240e:108:10e0::/47,240e:143:c000::/34,240e:183:c000::/34,240e:1c3:c000::/34,240e:23c::/30,240e:33c::/30,240e:43c::/30,240e:53c::/30,240e:63c::/30,240e:73c::/30,240e:83c::/30,240e:93c::/32,240e:93d::/36,240e:93d:1001::/48,240e:93d:1002::/47,240e:93d:1004::/46,240e:93d:1008::/45,240e:93d:1010::/44,240e:93d:1020::/43,240e:93d:1040::/42,240e:93d:1080::/41,240e:93d:1100::/40,240e:93d:1200::/39,240e:93d:1400::/38,240e:93d:1800::/37,240e:93d:2000::/35,240e:93d:4000::/34,240e:93d:8000::/33,240e:93e::/31,240e:980:4d00::/40,240e:980:8f00::/40,240e:981:e000::/39,240e:a3c::/30,240e:b3c::/30"
16,"w6黑龙江电信","240e:1::/33,240e:20:4000::/35,240e:28:4000::/35,240e:41::/33,240e:68:1000::/36,240e:84::/31,240e:100:8000::/34,240e:108:98::/48,240e:108:1010::/48,240e:140:8000::/34,240e:180:8000::/34,240e:1c0:8000::/34,240e:208::/30,240e:308::/30,240e:408::/30,240e:508::/30,240e:608::/30,240e:708::/30,240e:808::/30,240e:908::/30,240e:980:9800::/40,240e:981:1000::/40,240e:a08::/30,240e:b08::/30"
17,"w6湖北电信","240e:d::/32,240e:23:4000::/34,240e:2b:4000::/34,240e:4d::/32,240e:69:a000::/35,240e:b4::/30,240e:105:c000::/34,240e:108:2b::/48,240e:108:95::/48,240e:108:1160::/44,240e:145:c000::/34,240e:185:c000::/34,240e:1c5:c000::/34,240e:25c::/30,240e:368::/29,240e:45c::/30,240e:55c::/30,240e:668::/29,240e:768::/29,240e:85c::/30,240e:95c::/30,240e:980:2b00::/40,240e:980:9500::/40,240e:982:6000::/36,240e:a5c::/30,240e:b68::/29"
18,"w6湖南电信","240e:10::/32,240e:24::/34,240e:2c::/34,240e:50::/32,240e:6a::/35,240e:c0::/30,240e:106:8000::/34,240e:108:2a::/48,240e:108:43::/48,240e:108:84::/48,240e:108:1191::/48,240e:108:1192::/47,240e:108:1194::/47,240e:146:8000::/34,240e:186:8000::/34,240e:1c6:8000::/34,240e:268::/30,240e:380::/29,240e:468::/30,240e:568::/30,240e:680::/29,240e:780::/29,240e:868::/30,240e:968::/30,240e:980:2a00::/40,240e:980:4300::/40,240e:980:8400::/40,240e:982:9000::/38,240e:982:9400::/40,240e:a68::/30,240e:b80::/29"
19,"w6吉林电信","240e:2::/33,240e:20:8000::/35,240e:28:8000::/35,240e:42::/33,240e:68:3000::/36,240e:88::/31,240e:101::/34,240e:108:97::/48,240e:141::/34,240e:181::/34,240e:1c1::/34,240e:210::/30,240e:310::/30,240e:410::/30,240e:510::/30,240e:610::/30,240e:710::/30,240e:810::/30,240e:910::/30,240e:980:9700::/40,240e:a10::/30,240e:b10::/30"
20,"w6江苏电信","240e:1a::/31,240e:26:8000::/33,240e:2e:8000::/33,240e:5a::/31,240e:6b:4000::/34,240e:e8::/29,240e:100:30::/44,240e:100:40::/43,240e:100:60::/44,240e:107:8000::/34,240e:108:25::/48,240e:108:46::/47,240e:108:48::/48,240e:108:81::/48,240e:108:11d3::/48,240e:108:11d4::/47,240e:108:11d6::/48,240e:108:11d8::/48,240e:109:8025::/48,240e:109:8046::/47,240e:109:8048::/48,240e:147:8000::/34,240e:187:8000::/34,240e:1c7:8000::/34,240e:278::/30,240e:3a0::/28,240e:478::/30,240e:578::/30,240e:698:2500::/40,240e:698:4600::/39,240e:698:4800::/40,240e:6a0::/28,240e:7a0::/28,240e:878::/30,240e:978::/30,240e:980:2500::/40,240e:980:4600::/39,240e:980:4800::/40,240e:980:8100::/40,240e:982:d300::/40,240e:982:d400::/39,240e:982:d600::/40,240e:982:d800::/40,240e:a78::/30,240e:ba0::/28"
